timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763682960.0111618,10.0.1.10,11,766,1.1,76.6,3,3,69.63636363636364,0.15026269569727269,0,0.0,0,0,6
1763682960.0495126,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682961.076885,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682961.082628,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682961.1086082,10.0.1.10,9,634,0.9,63.4,3,3,70.44444444444444,0.0747603905277815,0,0.0,0,0,4
1763682961.1337624,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682963.1577957,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0018990212789124195,2,0.5,0,0,2
1763682963.163914,10.0.1.10,7,486,0.7,48.6,2,2,69.42857142857143,0.001184746640521319,0,0.0,0,0,3
1763682963.1877184,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682964.2053409,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0013502936132344019,2,0.5,0,0,2
1763682964.2178495,10.0.1.10,8,560,0.8,56.0,3,3,70.0,0.1329459926799391,0,0.0,0,0,5
1763682964.2477493,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682964.2769377,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682965.3018956,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0010372602130369452,2,0.5,0,0,2
1763682965.3204057,10.0.1.10,4,280,0.4,28.0,1,1,70.0,0.0004712894832794908,0,0.0,0,0,3
1763682966.3480957,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.001318436217795869,2,0.5,0,0,2
1763682966.3546214,10.0.1.10,8,552,0.8,55.2,2,2,69.0,0.029611471081323636,0,0.0,0,0,4
1763682966.3841028,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682967.4195645,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682967.426923,10.0.1.10,6,420,0.6,42.0,2,2,70.0,0.11638477538281085,0,0.0,0,0,2
1763682967.4523375,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682968.4773686,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.002189692220159404,2,0.5,0,0,2
1763682968.484995,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763682968.5087612,10.0.1.10,6,428,0.6,42.8,2,2,71.33333333333333,0.1322713925975393,0,0.0,0,0,6
1763682969.5423436,10.0.1.10,3,206,0.3,20.6,1,1,68.66666666666667,0.0007609128952026367,0,0.0,0,0,1
1763682969.5514467,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763682970.5821126,10.0.2.10,6,420,0.6,42.0,1,1,70.0,0.058399903343621974,2,0.5,0,0,4
1763682970.594876,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0012911996775622435,2,0.5,0,0,2
1763682970.6263626,10.0.1.10,10,700,1.0,70.0,3,3,70.0,0.02469576805398842,0,0.0,0,0,6
1763682970.6558077,10.0.1.11,3,74,0.3,7.4,1,1,24.666666666666668,0.001584768295288086,1,1.0,0,0,1
1763682971.6778126,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0016670223299916453,2,0.5,0,0,2
